Council,Caveats
Ashburton District Council,Excludes expenditure on Museums
Auckland Council,"Excludes expenditure on Museums. Data available from 2011. Excludes data for Auckland Transport, Auckland Regional Transport Authority, and Auckland Tourism, Events and Economic Development (ATEED)"
Bay of Plenty Regional Council,Excludes expenditure on Museums
Buller District Council,Excludes expenditure on Museums
Canterbury Regional Council,Excludes expenditure on Museums
Carterton District Council,Excludes expenditure on Museums
Central Hawke's Bay District Council,Excludes expenditure on Museums
Central Otago District Council,Excludes expenditure on Museums
Chatham Islands Council,Excludes expenditure on Museums
Christchurch City Council,Excludes expenditure on Museums
Clutha District Council,Excludes expenditure on Museums
Dunedin City Council,Excludes expenditure on Museums
Far North District Council,Excludes expenditure on Museums
Gisborne District Council,Excludes expenditure on Museums
Gore District Council,Excludes expenditure on Museums
Grey District Council,Excludes expenditure on Museums
Hamilton City Council,Excludes expenditure on Museums
Hastings District Council,Excludes expenditure on Museums
Hauraki District Council,Excludes expenditure on Museums
Hawke's Bay Regional Council,Excludes expenditure on Museums
Horowhenua District Council,Excludes expenditure on Museums
Hurunui District Council,Excludes expenditure on Museums
Hutt City Council,Excludes expenditure on Museums
Invercargill City Council,Excludes expenditure on Museums
Kaikoura District Council,Excludes expenditure on Museums
Kaipara District Council,Excludes expenditure on Museums
Kapiti Coast District Council,Excludes expenditure on Museums
Kawerau District Council,Excludes expenditure on Museums
Mackenzie District Council,Excludes expenditure on Museums
Manawatu District Council,Excludes expenditure on Museums
Manawatu-Wanganui Regional Council,Excludes expenditure on Museums
Marlborough District Council,Excludes expenditure on Museums
Masterton District Council,Excludes expenditure on Museums
Matamata-Piako District Council,Excludes expenditure on Museums
Napier City Council,Excludes expenditure on Museums
Nelson City Council,Excludes expenditure on Museums
New Plymouth District Council,Excludes expenditure on Museums
Northland Regional Council,Excludes expenditure on Museums
Opotiki District Council,Excludes expenditure on Museums
Otago Regional Council,Excludes expenditure on Museums
Otorohanga District Council,Excludes expenditure on Museums
Palmerston North City Council,Excludes expenditure on Museums
Porirua City Council,Excludes expenditure on Museums
Queenstown Lakes District Council,Excludes expenditure on Museums
Rangitikei District Council,Excludes expenditure on Museums
Rotorua District Council,Excludes expenditure on Museums
Ruapehu District Council,Excludes expenditure on Museums
Selwyn District Council,Excludes expenditure on Museums
South Taranaki District Council,Excludes expenditure on Museums
South Waikato District Council,Excludes expenditure on Museums
South Wairarapa District Council,Excludes expenditure on Museums
Southland District Council,Excludes expenditure on Museums
Southland Regional Council,Excludes expenditure on Museums
Stratford District Council,Excludes expenditure on Museums
Taranaki Regional Council,Excludes expenditure on Museums
Tararua District Council,Excludes expenditure on Museums
Tasman District Council,Excludes expenditure on Museums
Taupo District Council,Excludes expenditure on Museums
Tauranga City Council,Excludes expenditure on Museums
Thames-Coromandel District Council,Excludes expenditure on Museums
Timaru District Council,Excludes expenditure on Museums
Upper Hutt City Council,Excludes expenditure on Museums
Waikato District Council,Excludes expenditure on Museums
Waikato Regional Council,Excludes expenditure on Museums
Waimakariri District Council,Excludes expenditure on Museums
Waimate District Council,Excludes expenditure on Museums
Waipa District Council,Excludes expenditure on Museums
Wairoa District Council,Excludes expenditure on Museums
Waitaki District Council,Excludes expenditure on Museums
Waitomo District Council,Excludes expenditure on Museums
Wellington City Council,Excludes expenditure on Museums
Greater Wellington Regional Council,Excludes expenditure on Museums
West Coast Regional Council,Excludes expenditure on Museums
Western Bay of Plenty District Council,Excludes expenditure on Museums
Westland District Council,Excludes expenditure on Museums
Whakatane District Council,Excludes expenditure on Museums
Whanganui District Council,Excludes expenditure on Museums
Whangarei District Council,Excludes expenditure on Museums
